SA-100-0.95,,,,RHC,,,,GA-200-100-20,,,,MIMIC-200-5,,
Iterations,Training Time,Fitness,,Iterations,Training Time,Fitness,,Iterations,Training Time,Fitness,,Iterations,Training Time,Fitness
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,Iterations,Training Time,Fitness
,,,,,,,,,,,,50,0.819719172,173
,,,,,,,,,,,,,,
,,,,,,,,,,,,250,2.802807762,185
,,,,,,,,,,,,,,
,,,,,,,,,,,,450,5.173235312,186
,,,,,,,,,,,,,,
,,,,,,,,,,,,650,7.460604586,190
,,,,,,,,,,,,,,
,,,,,,,,,,,,850,9.695321743,190
,,,,,,,,,,,,,,
,,,,,,,,,,,,1050,11.90896086,190
,,,,,,,,,,,,,,
,,,,,,,,,,,,1250,14.23076637,192
,,,,,,,,,,,,,,
,,,,,,,,,,,,1450,16.43741423,193
,,,,,,,,,,,,,,
,,,,,,,,,,,,1650,18.58279069,193
,,,,,,,,,,,,,,
,,,,,,,,,,,,1850,20.92483241,193
,,,,,,,,,,,,,,
,,,,,,,,,,,,2050,23.21110238,193
,,,,,,,,,,,,,,
,,,,,,,,,,,,2250,25.41880664,193
,,,,,,,,,,,,,,
,,,,,,,,,,,,2450,27.68446216,195
,,,,,,,,,,,,,,
,,,,,,,,,,,,2650,31.13890971,195
,,,,,,,,,,,,,,
,,,,,,,,,,,,2850,36.09389412,193
,,,,,,,,,,,,,,
,,,,,,,,,,,,3050,40.73105153,193
,,,,,,,,,,,,,,
,,,,,,,,,,,,3250,43.32748936,193
,,,,,,,,,,,,,,
,,,,,,,,,,,,3450,43.93982973,195
,,,,,,,,,,,,,,
,,,,,,,,,,,,3650,45.02541505,197
,,,,,,,,,,,,,,
,,,,,,,,,,,,3850,47.99581461,197
,,,,,,,,,,,,,,
,,,,,,,,,,,,4050,51.09225268,197
,,,,,,,,,,,,,,
,,,,,,,,,,,,4250,53.69278573,197
,,,,,,,,,,,,,,
,,,,,,,,,,,,4450,55.53264258,197
,,,,,,,,,,,,,,
,,,,,,,,,,,,4650,58.76331093,197
,,,,,,,,,,,,,,
,,,,,,,,,,,,4850,61.68951844,197
,,,,,,,,,,,,,,
,,,,,,,,,,,,5050,62.9709277,197
,,,,,,,,,,,,,,
,,,,,,,,,,,,5250,65.75855666,197
,,,,,,,,,,,,,,
,,,,,,,,,,,,5450,69.79791552,197
,,,,,,,,,,,,,,
,,,,,,,,,,,,5650,71.35136725,197
,,,,,,,,,,,,,,
,,,,,,,,,,,,5850,73.80322659,197
,,,,,,,,,,,,,,
,,,,,,,,,,,,6050,75.7878749,197
,,,,,,,,,,,,,,
,,,,,,,,,,,,6250,120.8758587,197
,,,,,,,,,,,,,,
,,,,,,,,,,,,6450,141.1682324,197
,,,,,,,,,,,,,,
,,,,,,,,,,,,6650,120.8130034,195
,,,,,,,,,,,,,,
,,,,,,,,,,,,6850,95.61899544,193
,,,,,,,,,,,,,,
,,,,,,,,,,,,7050,105.4513264,195
,,,,,,,,,,,,,,
,,,,,,,,,,,,7250,109.4010248,195
,,,,,,,,,,,,,,
